province,date_active,cumulative_cases,cumulative_recovered,cumulative_deaths,active_cases,active_cases_change,avaccine,cumulative_avaccine
Canada,25-01-2020,1,0,0,1,1,0,0
Canada,26-01-2020,1,0,0,1,0,0,0
Canada,27-01-2020,2,0,0,2,1,0,0
Canada,28-01-2020,3,0,0,3,1,0,0
Canada,29-01-2020,3,0,0,3,0,0,0
Canada,30-01-2020,3,0,0,3,0,0,0
Canada,31-01-2020,4,0,0,4,1,0,0
Canada,01-02-2020,4,0,0,4,0,0,0
Canada,02-02-2020,4,0,0,4,0,0,0
Canada,03-02-2020,4,0,0,4,0,0,0
Canada,04-02-2020,5,0,0,5,1,0,0
Canada,05-02-2020,5,0,0,5,0,0,0
Canada,06-02-2020,7,0,0,7,2,0,0
Canada,07-02-2020,7,0,0,7,0,0,0
Canada,08-02-2020,7,0,0,7,0,0,0
Canada,09-02-2020,7,0,0,7,0,0,0
Canada,10-02-2020,7,0,0,7,0,0,0
Canada,11-02-2020,7,0,0,7,0,0,0
Canada,12-02-2020,7,1,0,6,-1,0,0
Canada,13-02-2020,7,1,0,6,0,0,0
Canada,14-02-2020,8,1,0,7,1,0,0
Canada,15-02-2020,8,1,0,7,0,0,0
Canada,16-02-2020,8,1,0,7,0,0,0
Canada,17-02-2020,8,1,0,7,0,0,0
Canada,18-02-2020,8,1,0,7,0,0,0
Canada,19-02-2020,8,2,0,6,-1,0,0
Canada,20-02-2020,9,3,0,6,0,0,0
Canada,21-02-2020,9,4,0,5,-1,0,0
Canada,22-02-2020,9,4,0,5,0,0,0
Canada,23-02-2020,10,4,0,6,1,0,0
Canada,24-02-2020,11,4,0,7,1,0,0
Canada,25-02-2020,11,7,0,4,-3,0,0
Canada,26-02-2020,12,7,0,5,1,0,0
Canada,27-02-2020,14,7,0,7,2,0,0
Canada,28-02-2020,16,7,0,9,2,0,0
Canada,29-02-2020,20,7,0,13,4,0,0
Canada,01-03-2020,24,7,0,17,4,0,0
Canada,02-03-2020,24,7,0,17,0,0,0
Canada,03-03-2020,33,7,0,26,9,0,0
Canada,04-03-2020,34,7,0,27,1,0,0
Canada,05-03-2020,46,8,0,38,11,0,0
Canada,06-03-2020,54,8,0,46,8,0,0
Canada,07-03-2020,60,8,0,52,6,0,0
Canada,08-03-2020,67,8,1,58,6,0,0
Canada,09-03-2020,86,9,1,76,18,0,0
Canada,10-03-2020,95,9,1,85,9,0,0
Canada,11-03-2020,116,9,2,105,20,0,0
Canada,12-03-2020,156,9,2,145,40,0,0
Canada,13-03-2020,198,10,2,186,41,0,0
Canada,14-03-2020,257,10,2,245,59,0,0
Canada,15-03-2020,341,10,2,329,84,0,0
Canada,16-03-2020,441,10,5,426,97,0,0
Canada,17-03-2020,597,10,8,579,153,0,0
Canada,18-03-2020,727,11,9,707,128,0,0
Canada,19-03-2020,873,13,12,848,141,0,0
Canada,20-03-2020,1087,15,13,1059,211,0,0
Canada,21-03-2020,1331,16,18,1297,238,0,0
Canada,22-03-2020,1471,18,21,1432,135,0,0
Canada,23-03-2020,2091,112,24,1955,523,0,0
Canada,24-03-2020,2819,186,27,2606,651,0,0
Canada,25-03-2020,3408,198,35,3175,569,0,0
Canada,26-03-2020,4042,229,39,3774,599,0,0
Canada,27-03-2020,4756,356,55,4345,571,0,0
Canada,28-03-2020,5654,505,61,5088,743,0,0
Canada,29-03-2020,6319,589,66,5664,576,0,0
Canada,30-03-2020,7446,1122,90,6234,570,0,0
Canada,31-03-2020,8589,1306,126,7157,923,0,0
Canada,01-04-2020,10130,1676,113,8341,1184,0,0
Canada,02-04-2020,11733,1981,152,9600,1259,0,0
Canada,03-04-2020,12936,2335,206,10395,795,0,0
Canada,04-04-2020,14340,2748,251,11341,946,0,0
Canada,05-04-2020,15913,3113,291,12509,1168,0,0
Canada,06-04-2020,17105,3629,341,13135,626,0,0
Canada,07-04-2020,18481,4063,400,14018,883,0,0
Canada,08-04-2020,19803,4666,459,14678,660,0,0
Canada,09-04-2020,21340,5324,524,15492,814,0,0
Canada,10-04-2020,22672,6026,603,16043,551,0,0
Canada,11-04-2020,23883,6663,673,16547,504,0,0
Canada,12-04-2020,24995,7185,727,17083,536,0,0
Canada,13-04-2020,26368,7771,802,17795,712,0,0
Canada,14-04-2020,27801,8248,941,18612,817,0,0
Canada,15-04-2020,29193,8992,1050,19151,539,0,0
Canada,16-04-2020,30917,9725,1230,19962,811,0,0
Canada,17-04-2020,32806,10556,1344,20906,944,0,0
Canada,18-04-2020,34328,11220,1503,21605,699,0,0
Canada,19-04-2020,35965,11856,1622,22487,882,0,0
Canada,20-04-2020,37783,12599,1733,23451,964,0,0
Canada,21-04-2020,39331,13201,1886,24244,793,0,0
Canada,22-04-2020,41288,13999,2050,25239,995,0,0
Canada,23-04-2020,43172,14774,2213,26185,946,0,0
Canada,24-04-2020,44795,15554,2367,26874,689,0,0
Canada,25-04-2020,46201,16438,2532,27231,357,0,0
Canada,26-04-2020,47784,17334,2641,27809,578,0,0
Canada,27-04-2020,49395,18281,2799,28315,506,0,0
Canada,28-04-2020,50891,19244,2933,28714,399,0,0
Canada,29-04-2020,52599,20340,3111,29148,434,0,0
Canada,30-04-2020,54179,21437,3257,29485,337,0,0
Canada,01-05-2020,56116,22764,3487,29865,380,0,0
Canada,02-05-2020,57719,23814,3631,30274,409,0,0
Canada,03-05-2020,60277,24921,3750,31606,1332,0,0
